DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
15/05/2020 00:00,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,25.18431613,22.8575074,0.0
15/05/2020 00:15,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,25.08458867,22.76166787,0.0
15/05/2020 00:30,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.9357526,22.59230553,0.0
15/05/2020 00:45,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.8461304,22.36085213,0.0
15/05/2020 01:00,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.62152536,22.16542264,0.0
15/05/2020 01:15,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.5360922,21.96857087,0.0
15/05/2020 01:30,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.63867387,22.35292567,0.0
15/05/2020 01:45,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.87302233,23.1609192,0.0
15/05/2020 02:00,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.93693047,23.026113,0.0
15/05/2020 02:15,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,25.0122476,23.34322927,0.0
15/05/2020 02:30,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,25.00514933,23.63945927,0.0
15/05/2020 02:45,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.99301953,24.0394858,0.0
15/05/2020 03:00,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,25.01630943,24.38413557,0.0
15/05/2020 03:15,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.98521527,24.35150773,0.0
15/05/2020 03:30,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.93773193,24.06029653,0.0
15/05/2020 03:45,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.87909953,23.70979413,0.0
15/05/2020 04:00,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.6789022,22.58994153,0.0
15/05/2020 04:15,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.3519308,21.78364253,0.0
15/05/2020 04:30,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.0626222,21.85252493,0.0
15/05/2020 04:45,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.0132242,22.306315,0.0
15/05/2020 05:00,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.1771058,22.55190847,0.0
15/05/2020 05:15,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.304888,22.97949207,0.0
15/05/2020 05:30,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.32872727,23.45238047,0.0
15/05/2020 05:45,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,24.28921113,23.09669193,0.000862721
15/05/2020 06:00,4135001,pkci93gMrogZuBj,37.375,3.6,0.0,7169102.0,24.08844607,22.2067566,0.005886957
15/05/2020 06:15,4135001,pkci93gMrogZuBj,307.1428571,29.67142857,2.571428571,7169104.571,24.01163527,22.35345867,0.022281607
15/05/2020 06:30,4135001,pkci93gMrogZuBj,687.0,66.575,14.25,7169116.25,23.97673127,22.893282,0.049409724
15/05/2020 06:45,4135001,pkci93gMrogZuBj,1264.142857,123.1142857,37.14285714,7169139.143,24.21899,24.44244393,0.095394454
15/05/2020 07:00,4135001,pkci93gMrogZuBj,1861.625,182.475,77.875,7169179.875,24.5373984,27.18565287,0.141940443
15/05/2020 07:15,4135001,pkci93gMrogZuBj,2004.428571,196.5142857,125.0,7169227.0,24.8159595,28.88847786,0.154712676
15/05/2020 07:30,4135001,pkci93gMrogZuBj,1958.25,191.9375,174.5,7169276.5,24.98878987,29.6056438,0.148799153
15/05/2020 07:45,4135001,pkci93gMrogZuBj,1897.142857,185.9714286,219.4285714,7169321.429,25.21618033,29.54711093,0.144793419
15/05/2020 08:00,4135001,pkci93gMrogZuBj,2989.375,293.575,276.375,7169378.375,25.41951307,31.41254473,0.201638621
15/05/2020 08:15,4135001,pkci93gMrogZuBj,5152.571429,505.2571429,374.4285714,7169476.429,25.95908213,35.5287108,0.345707653
15/05/2020 08:30,4135001,pkci93gMrogZuBj,5177.625,507.6625,508.5,7169610.5,26.43078207,40.3180586,0.405348573
15/05/2020 08:45,4135001,pkci93gMrogZuBj,4021.714286,394.9285714,614.2857143,7169716.286,26.8318298,39.08195373,0.312426795
15/05/2020 09:00,4135001,pkci93gMrogZuBj,8200.0,802.55,771.0,7169873.0,27.6209698,45.0092326,0.623152649
15/05/2020 09:15,4135001,pkci93gMrogZuBj,6005.428571,588.5142857,956.7142857,7170058.714,27.98836207,46.6177065,0.344884036
15/05/2020 09:30,4135001,pkci93gMrogZuBj,3706.142857,364.2142857,1061.857143,7170163.857,27.51672787,39.136326,0.2492484
15/05/2020 09:45,4135001,pkci93gMrogZuBj,7194.75,704.3875,1180.375,7170282.375,27.45010767,40.93057693,0.541205977
15/05/2020 10:00,4135001,pkci93gMrogZuBj,9441.428571,922.8,1411.571429,7170513.571,28.63219187,52.5477356,0.670675372
15/05/2020 10:15,4135001,pkci93gMrogZuBj,6130.125,600.675,1580.125,7170682.125,28.76891273,47.633738,0.572283477
15/05/2020 10:30,4135001,pkci93gMrogZuBj,7577.428571,741.6857143,1765.571429,7170867.571,29.3514426,49.24972327,0.455148383
15/05/2020 10:45,4135001,pkci93gMrogZuBj,6211.875,608.1125,1936.75,7171038.75,28.85470787,44.0483256,0.361961654
15/05/2020 11:00,4135001,pkci93gMrogZuBj,10114.57143,987.3714286,2115.857143,7171217.857,29.41081933,47.6854534,0.636560881
15/05/2020 11:15,4135001,pkci93gMrogZuBj,7711.375,754.05,2341.75,7171443.75,30.21606229,50.00698857,0.585787214
15/05/2020 11:30,4135001,pkci93gMrogZuBj,7745.0,757.5714286,2539.142857,7171641.143,30.2870728,49.8413636,0.557069383
15/05/2020 11:45,4135001,pkci93gMrogZuBj,5973.5,585.3125,2703.0,7171805.0,30.81104933,47.8363832,0.467986869
15/05/2020 12:00,4135001,pkci93gMrogZuBj,6126.142857,600.1857143,2847.0,7171949.0,31.30537507,49.18358353,0.514962587
15/05/2020 12:15,4135001,pkci93gMrogZuBj,9142.75,893.175,3031.5,7172133.5,31.50729773,49.84449267,0.787866029
15/05/2020 12:30,4135001,pkci93gMrogZuBj,8509.571429,832.2142857,3257.428571,7172359.429,32.14768473,52.35325513,0.649247629
15/05/2020 12:45,4135001,pkci93gMrogZuBj,9971.125,974.525,3474.5,7172576.5,32.3914204,50.63123993,0.761243312
15/05/2020 13:00,4135001,pkci93gMrogZuBj,5131.857143,503.1285714,3674.142857,7172776.143,32.62279607,49.61076771,0.416035101
15/05/2020 13:15,4135001,pkci93gMrogZuBj,6888.571429,674.6714286,3812.0,7172914.0,32.49706447,47.01116133,0.489243946
15/05/2020 13:30,4135001,pkci93gMrogZuBj,7972.125,780.325,3991.125,7173093.125,32.5246214,46.66986293,0.574561224
15/05/2020 13:45,4135001,pkci93gMrogZuBj,7670.142857,750.8714286,4184.0,7173286.0,32.67847087,47.51688413,0.560985624
15/05/2020 14:00,4135001,pkci93gMrogZuBj,10028.625,980.5125,4400.5,7173502.5,33.7631854,49.80390433,0.735083463
15/05/2020 14:15,4135001,pkci93gMrogZuBj,11913.42857,1162.585714,4671.571429,7173773.571,34.13076993,55.030613,0.893661491
15/05/2020 14:30,4135001,pkci93gMrogZuBj,7223.0,706.425,4929.75,7174031.75,34.08138427,54.51913673,0.466788824
15/05/2020 14:45,4135001,pkci93gMrogZuBj,7345.285714,718.5571429,5082.714286,7174184.714,33.69572221,47.61819464,0.542138496
15/05/2020 15:00,4135001,pkci93gMrogZuBj,4994.625,490.0625,5243.625,7174345.625,33.89057607,46.0290812,0.398888543
15/05/2020 15:15,4135001,pkci93gMrogZuBj,6073.571429,595.0142857,5389.857143,7174491.857,34.043744,44.28609193,0.447292149
15/05/2020 15:30,4135001,pkci93gMrogZuBj,7437.875,728.2,5545.375,7174647.375,34.40285233,46.7442812,0.565196397
15/05/2020 15:45,4135001,pkci93gMrogZuBj,5051.142857,495.1285714,5698.714286,7174800.714,34.43094267,43.9206158,0.346230693
